year,WoSCC_n,WoSCC_mean_TC_per_article,WoSCC_mean_TC_per_year,WoSCC_citable_years,Scopus_n,Scopus_mean_TC_per_article,Scopus_mean_TC_per_year,Scopus_citable_years,WoSCC_plus_Scopus_n,WoSCC_plus_Scopus_mean_TC_per_article,WoSCC_plus_Scopus_mean_TC_per_year,WoSCC_plus_Scopus_citable_years
2016,18,58.44,5.31,11,33,123.27,11.21,11,40,108.38,9.85,11
2017,18,143.39,14.34,10,28,176.43,17.64,10,38,138.13,13.81,10
2018,39,230.18,25.58,9,49,211.86,23.54,9,63,174.33,19.37,9
2019,46,102.09,12.76,8,66,158.79,19.85,8,84,129.43,16.18,8
2020,72,85.68,12.24,7,110,66.08,9.44,7,133,72.98,10.43,7
2021,94,74.93,12.49,6,115,90.63,15.1,6,154,78.25,13.04,6
2022,123,69.15,13.83,5,149,59.68,11.94,5,185,58.95,11.79,5
2023,137,51.96,12.99,4,172,47.52,11.88,4,210,44.34,11.09,4
2024,145,27.72,9.24,3,200,27.08,9.03,3,235,25.01,8.34,3
2025,286,10.6,5.3,2,314,10.45,5.22,2,390,10.02,5.01,2
