configuration,n_neighbors,n_components,min_dist,min_cluster_size,min_samples,min_df,topics_including_outlier,valid_topics,outlier_share_percent,base_topics_recovered_at_jaccard_0.5,base_topics_recovered_fraction
n15_c25_s10_d2,15,5,0.05,25,10,2,12,11,22.3,11,1.0
n10_c25_s10_d2,10,5,0.05,25,10,2,9,8,14.4,8,0.73
n30_c25_s10_d2,30,5,0.05,25,10,2,10,9,23.0,9,0.82
n15_c15_s10_d2,15,5,0.05,15,10,2,2,2,0.0,1,0.09
n15_c40_s10_d2,15,5,0.05,40,10,2,8,7,20.2,6,0.55
n15_c25_s5_d2,15,5,0.05,25,5,2,13,12,14.6,11,1.0
n15_c25_s20_d2,15,5,0.05,25,20,2,10,9,28.0,9,0.82
n15_c25_s10_d1,15,5,0.05,25,10,1,12,11,22.3,11,1.0
n15_c25_s10_d5,15,5,0.05,25,10,5,12,11,22.3,11,1.0
n10_c15_s10_d2,10,5,0.05,15,10,2,2,2,0.0,1,0.09
n10_c40_s10_d2,10,5,0.05,40,10,2,9,8,14.4,8,0.73
n30_c15_s10_d2,30,5,0.05,15,10,2,2,2,0.0,1,0.09
n30_c40_s10_d2,30,5,0.05,40,10,2,8,7,22.2,7,0.64
