Baseline_topic,n15_c25_s10_d2,n10_c25_s10_d2,n30_c25_s10_d2,n15_c15_s10_d2,n15_c40_s10_d2,n15_c25_s5_d2,n15_c25_s20_d2,n15_c25_s10_d1,n15_c25_s10_d5,n10_c15_s10_d2,n10_c40_s10_d2,n30_c15_s10_d2,n30_c40_s10_d2
0,1.0,1.0,1.0,0.54,1.0,1.0,0.82,1.0,1.0,0.54,1.0,0.54,0.82
1,1.0,1.0,1.0,0.33,1.0,1.0,1.0,1.0,1.0,0.33,1.0,0.33,1.0
2,1.0,0.82,1.0,0.43,1.0,0.67,0.82,1.0,1.0,0.43,0.82,0.43,1.0
3,1.0,1.0,1.0,0.18,1.0,1.0,1.0,1.0,0.82,0.18,1.0,0.18,1.0
4,1.0,0.67,0.82,0.05,0.82,1.0,0.82,0.82,0.82,0.05,0.67,0.05,0.82
5,1.0,0.82,0.67,0.11,0.25,0.67,0.82,1.0,0.82,0.11,0.82,0.11,0.67
6,1.0,0.54,0.82,0.05,0.82,0.82,0.82,0.82,0.82,0.05,0.54,0.05,0.05
7,1.0,0.54,0.54,0.0,0.25,0.82,0.54,1.0,1.0,0.0,0.54,0.0,0.54
8,1.0,0.43,0.43,0.11,0.43,0.82,0.43,0.82,0.82,0.11,0.43,0.11,0.43
9,1.0,0.25,0.67,0.18,0.25,0.82,1.0,0.82,0.82,0.18,0.25,0.18,0.25
10,1.0,0.05,0.05,0.0,0.05,1.0,0.05,1.0,0.67,0.0,0.05,0.0,0.05
