topic,from_label,to_label,from_midpoint,to_midpoint,event,relative_change
0,2016-2016,2017-2017,2016.0,2017.0,birth,96774193.548
3,2016-2016,2017-2017,2016.0,2017.0,birth,0.742
4,2016-2016,2017-2017,2016.0,2017.0,birth,1.613
6,2016-2016,2017-2017,2016.0,2017.0,birth,1.177
7,2016-2016,2017-2017,2016.0,2017.0,death,-0.826
9,2016-2016,2017-2017,2016.0,2017.0,death,-1.0
5,2017-2017,2018-2018,2017.0,2018.0,death,-0.613
6,2017-2017,2018-2018,2017.0,2018.0,death,-0.613
7,2017-2017,2018-2018,2017.0,2018.0,birth,1.583
8,2017-2017,2018-2018,2017.0,2018.0,birth,2.229
9,2017-2017,2018-2018,2017.0,2018.0,birth,20833333.333
10,2017-2017,2018-2018,2017.0,2018.0,birth,41666666.667
0,2018-2018,2019-2019,2018.0,2019.0,birth,0.935
5,2018-2018,2019-2019,2018.0,2019.0,birth,0.806
6,2018-2018,2019-2019,2018.0,2019.0,death,-1.0
9,2018-2018,2019-2019,2018.0,2019.0,death,-1.0
3,2019-2019,2020-2020,2019.0,2020.0,birth,1.455
6,2019-2019,2020-2020,2019.0,2020.0,birth,79207920.792
9,2019-2019,2020-2020,2019.0,2020.0,birth,29702970.297
8,2020-2020,2021-2021,2020.0,2021.0,death,-1.0
9,2020-2020,2021-2021,2020.0,2021.0,death,-0.737
10,2020-2020,2021-2021,2020.0,2021.0,birth,3.34
4,2021-2021,2022-2022,2021.0,2022.0,birth,0.874
5,2021-2021,2022-2022,2021.0,2022.0,birth,0.73
6,2021-2021,2022-2022,2021.0,2022.0,death,-0.856
7,2021-2021,2022-2022,2021.0,2022.0,birth,0.514
8,2021-2021,2022-2022,2021.0,2022.0,birth,47297297.297
9,2021-2021,2022-2022,2021.0,2022.0,birth,1.595
10,2021-2021,2022-2022,2021.0,2022.0,death,-0.764
6,2022-2022,2023-2023,2022.0,2023.0,birth,7.757
9,2022-2022,2023-2023,2022.0,2023.0,birth,1.043
7,2023-2023,2024-2024,2023.0,2024.0,birth,1.253
8,2023-2023,2024-2024,2023.0,2024.0,birth,0.61
10,2023-2023,2024-2024,2023.0,2024.0,birth,0.61
5,2024-2024,2025-2025,2024.0,2025.0,death,-0.549
7,2024-2024,2025-2025,2024.0,2025.0,death,-0.834
9,2024-2024,2025-2025,2024.0,2025.0,birth,0.594
10,2024-2024,2025-2025,2024.0,2025.0,death,-0.652
