record_id,source,doi,title,year,status,matched_rule,matched_record_id,matched_source
S_1,Scopus,10.1016/j.jep.2025.119319,Glycyrrhiza uralensis Fisch. Attenuates Dioscorea bulbifera L.-induced liver injury by regulating the FXR/Nrf2-BAs-related proteins and intestinal microbiota,2025,removed as duplicate,exact DOI match,W_529,WoS
S_2,Scopus,10.1186/s12935-025-03673-6,"Inflammation, microbiota, and pancreatic cancer",2025,removed as duplicate,exact DOI match,W_296,WoS
S_3,Scopus,10.3389/fonc.2025.1630726,From dysbiosis to precision therapy: decoding the gut-bladder axis in bladder carcinogenesis,2025,removed as duplicate,exact DOI match,W_117,WoS
S_4,Scopus,10.1186/s10020-025-01166-w,"Role of the oral-gut microbiota axis in pancreatic cancer: a new perspective on tumor pathophysiology, diagnosis, and treatment",2025,removed as duplicate,exact DOI match,W_343,WoS
S_6,Scopus,10.1002/bab.2738,Genetically Engineered Bacteria as a Promising Therapeutic Strategy Against Cancer: A Comprehensive Review,2025,removed as duplicate,exact DOI match,W_649,WoS
S_8,Scopus,10.1152/ajpcell.00201.2024,Targeting the gut and tumor microbiome in cancer treatment resistance,2024,removed as duplicate,exact DOI match,W_216,WoS
S_10,Scopus,10.1186/s12935-025-03641-0,Application prospects of ferroptosis in colorectal cancer,2025,removed as duplicate,exact DOI match,W_630,WoS
S_12,Scopus,10.1002/jev2.70070,Fusobacterium nucleatum-Derived Outer Membrane Vesicles Promote Immunotherapy Resistance via Changes in Tryptophan Metabolism in Tumour-Associated Macrophages,2025,removed as duplicate,exact DOI match,W_762,WoS
S_13,Scopus,10.1093/ibd/izad195,Management of Perianal Fistulizing Crohn’s Disease,2024,removed as duplicate,exact DOI match,W_775,WoS
S_14,Scopus,10.1016/j.nutres.2025.07.007,Harnessing dietary polyunsaturated fatty acids through gut microbiota to enhance ferroptosis in breast cancer therapy,2025,removed as duplicate,exact DOI match,W_137,WoS
S_16,Scopus,10.1016/j.actbio.2025.06.008,Sonosensitizer-doped framework theranostic nanoprobe for enhanced spatiotemporal eradication of helicobacter pylori with photoacoustic imaging guidance,2025,removed as duplicate,exact DOI match,W_547,WoS
S_19,Scopus,10.1136/bmjopen-2024-097802,"Protocol: Faecal microbiota transfer in liver cancer to overcome resistance to atezolizumab/bevacizumab – a multicentre, randomised, placebo-controlled, double-blind phase II trial (the FLORA trial)",2025,removed as duplicate,exact DOI match,W_355,WoS
