title,publication_year,source,document_type
21ST ANNUAL MEETING OF THE EUROPEAN SOCIETY FOR PIGMENT CELL RESEARCH,2018,PIGMENT CELL & MELANOMA RESEARCH,Article
Extracellular vesicles in Inter-Kingdom communication in,2021,AMERICAN JOURNAL OF CANCER RESEARCH,Review
Resident Bacteria in Breast Cancer Tissue: Pathogenic Agents or Harmless,2018,DISCOVERY MEDICINE,Article
Ulcerative Colitis: Rapid Evidence Review,2022,AMERICAN FAMILY PHYSICIAN,Article
One year in review 2016: Belicet's syndrome,2016,CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,Review
Gastrointestinal Conditions: Inflammatory Bowel Disease,2022,FP essentials,Article
Role of the microbiota in hematologic malignancies,2019,Netherlands Journal of Medicine,Review
Yeast Extract Induces Apoptosis and Cell Cycle Arrest via Activating p38 Signal Pathway in,2020,Annals of Clinical and Laboratory Science,Article
Serendipity in refractory celiac disease: Full recovery of duodenal villi and clinical,2016,Journal of Gastrointestinal and Liver Diseases,Article
One year in review 2016: Behçet's syndrome,2016,Clinical and Experimental Rheumatology,Review
