Rank,Topic,Label (provisional),Documents,R2,P,Slope,Trend,First year,Peak year,Peak count,Top10
1,0,Gut microbiota and cancer immunotherapy,285,0.882,5.622058434856649e-05,7.582,significant increase,2017,2025,80,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
2,1,"Colorectal cancer, Fusobacterium nucleatum and treatment resistance",239,0.803,0.0004523627671019,6.164,significant increase,2016,2025,73,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
3,2,Immune checkpoint inhibitors and drug resistance,212,0.821,0.0003012725540868,4.57,significant increase,2016,2025,57,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
4,3,Pancreatic ductal adenocarcinoma and gemcitabine resistance,85,0.862,0.0001050691236665,1.994,significant increase,2016,2025,21,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
5,4,"Bacterial infection, phage therapy and antimicrobial resistance",75,0.791,0.0005721194775813,1.703,significant increase,2016,2025,20,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
6,6,Bile acid metabolism and hepatic drug transporters,60,0.506,0.020983986057615,1.152,significant increase,2016,2025,16,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
7,9,Hepatocellular carcinoma and sorafenib resistance,31,0.656,0.0044811762228439,0.939,significant increase,2016,2025,11,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
8,8,Ulcerative colitis and pouchitis,52,0.574,0.0111140255195439,0.897,significant increase,2016,2024,10,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
9,7,Inflammatory bowel disease and intestinal inflammation,53,0.297,0.1030191353310526,0.624,no significant trend,2016,2024,14,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
10,10,Graft-versus-host disease after haematopoietic stem cell transplantation,31,0.213,0.1796841695672086,0.479,no significant trend,2018,2021,11,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
11,5,Faecal microbiota transplantation for Clostridioides difficile infection,68,0.317,0.0899574551307621,0.4,no significant trend,2016,2022,10,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
