TI,PY,SO,DI,topic,topic_terms
Gut microbiome in modulating immune checkpoint inhibitors,2022,EBIOMEDICINE,10.1016/j.ebiom.2022.104163,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Microecological regulation in HCC therapy: Gut microbiome enhances ICI treatment,2024,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,10.1016/j.bbadis.2024.167230,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
The Use of Phytochemicals to Improve the Efficacy of Immune Checkpoint Inhibitors: Opportunities and Challenges,2022,APPLIED SCIENCES-BASEL,10.3390/app122010548,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Gut microbiota shed new light on the management of immune-related adverse events,2022,THORACIC CANCER,10.1111/1759-7714.14626,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Gut Microbiome and Immune Checkpoint Inhibitor-Induced Enterocolitis,2020,DIGESTIVE DISEASES AND SCIENCES,10.1007/s10620-020-06103-x,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Overcoming resistance to anti-PD1 and anti-PD-L1 treatment in gastrointestinal malignancies,2020,JOURNAL FOR IMMUNOTHERAPY OF CANCER,10.1136/jitc-2019-000404,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
The role of the gut microbiome in regulating the response to immune checkpoint inhibitor therapy,2024,BEST PRACTICE & RESEARCH CLINICAL GASTROENTEROLOGY,10.1016/j.bpg.2024.101944,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Gut Microbiota Reshapes the Tumor Microenvironment and Affects the Efficacy of Colorectal Cancer Immunotherapy,2025,CANCER MEDICINE,10.1002/cam4.70994,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Focus on gut microbes: new direction in cancer treatment,2025,FRONTIERS IN ONCOLOGY,10.3389/fonc.2025.1505656,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Fecal Microbiota Transplantation for Immune Checkpoint Inhibitor-Induced Colitis Is Safe and Contributes to Recovery: Two Case Reports,2023,JOURNAL OF IMMUNOTHERAPY,10.1097/CJI.0000000000000474,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Fecal microbiota transplantation for refractory immune checkpoint inhibitor-associated colitis,2018,NATURE MEDICINE,10.1038/s41591-018-0238-9,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Oncological relevance of gut and urine microbiomes,2021,ORVOSI HETILAP,10.1556/650.2021.32052,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Challenges of the Immunotherapy: Perspectives and Limitations of the Immune Checkpoint Inhibitor Treatment,2022,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms23052847,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Advances and mechanisms of gut microbiota modulation in enhancing immune checkpoint inhibitor efficacy,2025,SEMINARS IN CANCER BIOLOGY,10.1016/j.semcancer.2025.06.012,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Management Considerations for Immune Checkpoint Inhibitor-Induced Enterocolitis Based on Management of Inflammatory Bowel Disease,2020,INFLAMMATORY BOWEL DISEASES,10.1093/ibd/izz212,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Prognostic Factors for Checkpoint Inhibitor Based Immunotherapy: An Update With New Evidences,2018,FRONTIERS IN PHARMACOLOGY,10.3389/fphar.2018.01050,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
The application basis of immuno-checkpoint inhibitors combined with chemotherapy in cancer treatment,2023,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2022.1088886,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Unraveling Resistance to Immunotherapy in MSI-High Colorectal Cancer,2023,CANCERS,10.3390/cancers15205090,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Emerging biomarkers for immune checkpoint inhibition in lung cancer,2018,SEMINARS IN CANCER BIOLOGY,10.1016/j.semcancer.2018.05.006,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
