Topic,N_timepoints,R2,P,Slope,Trend
0,10,0.882,5.622058434856649e-05,7.582,significant increase
1,10,0.803,0.000452362767101958,6.164,significant increase
2,10,0.821,0.0003012725540868056,4.57,significant increase
3,10,0.862,0.00010506912366654346,1.994,significant increase
4,10,0.791,0.0005721194775813952,1.703,significant increase
5,10,0.317,0.08995745513076213,0.4,no significant trend
6,10,0.506,0.02098398605761501,1.152,significant increase
7,10,0.297,0.10301913533105264,0.624,no significant trend
8,10,0.574,0.01111402551954394,0.897,significant increase
9,10,0.656,0.004481176222843991,0.939,significant increase
10,10,0.213,0.17968416956720867,0.479,no significant trend
