sample_id,set,record_index,source,doi,title,journal,year
M001,main,1452,,10.1586/17474124.2016.1142372,Emerging therapeutic targets and strategies in Crohn’s disease,Expert Review of Gastroenterology and Hepatology,2016
M002,main,1413,,10.1016/j.jmii.2015.12.007,Coexisting cytomegalovirus infection in immunocompetent patients with Clostridium difficile colitis,"Journal of Microbiology, Immunology and Infection",2016
M003,main,1489,,,One year in review 2016: Behçet's syndrome,Clinical and Experimental Rheumatology,2016
M004,main,628,,10.3892/or.2016.4838,Butyrate-mediated acquisition of chemoresistance by human colon cancer cells,ONCOLOGY REPORTS,2016
M005,main,1523,,10.1080/1744666X.2017.1343668,New treatment strategies for ulcerative colitis,Expert Review of Clinical Immunology,2017
M006,main,802,,10.2147/OTT.S145949,"Clinical significance of Fusobacterium nucleatum, epithelial-mesenchymal transition, and cancer stem cell markers in stage III/IV colorectal cancer patients",ONCOTARGETS AND THERAPY,2017
M007,main,1473,,10.1080/03602532.2017.1293682,Glucuronidation: driving factors and their impact on glucuronide disposition,Drug Metabolism Reviews,2017
M008,main,1389,,10.1080/17474124.2017.1344551,Bezlotoxumab: anti-toxin B monoclonal antibody to prevent recurrence of Clostridium difficile infection,Expert Review of Gastroenterology and Hepatology,2017
M009,main,713,,10.1080/14737159.2018.1544495,The microbiome of pancreatic cancer: from molecular diagnostics to new therapeutic approaches to overcome chemoresistance caused by metabolic inactivation of gemcitabine,EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,2018
M010,main,400,,10.1515/cclm-2017-1163,Exploring the microbiota to better understand gastrointestinal cancers physiology,CLINICAL CHEMISTRY AND LABORATORY MEDICINE,2018
M011,main,16,,10.3389/fphar.2018.01050,Prognostic Factors for Checkpoint Inhibitor Based Immunotherapy: An Update With New Evidences,FRONTIERS IN PHARMACOLOGY,2018
M012,main,452,,10.3892/ijo.2018.4570,Mechanisms underlying the effects of stress on tumorigenesis and metastasis (Review),INTERNATIONAL JOURNAL OF ONCOLOGY,2018
